ChocolateId,Company,Specific Bean Origin or Bar Name,ReviewDate,CocoaPercent,CompanyLocation,Rating,BeanType
CHOC0326,Callebaut,Grenade,2008,60%,Belgium,2.75,Trinitario
CHOC0327,Callebaut,Baking,2007,70%,Belgium,1, 
CHOC0328,C-Amaro,Cuba,2014,75%,Italy,2.5, 
CHOC0329,C-Amaro,Dominican Republic,2014,72%,Italy,3, 
CHOC0330,C-Amaro,"Lago di Como, Blu",2014,70%,Italy,3.5,Blend
CHOC0331,C-Amaro,Ecuador,2013,100%,Italy,3.5, 
CHOC0332,C-Amaro,Venezuela,2012,80%,Italy,3, 
CHOC0333,C-Amaro,Sao Tome,2011,78%,Italy,2.25,Forastero
CHOC0334,C-Amaro,Trinidad,2011,70%,Italy,2.5,Trinitario
CHOC0335,Cao,Porcelana,2016,75%,U.S.A.,2.5,Criollo
CHOC0336,Cao,Tanzania,2016,73%,U.S.A.,2.75, 
CHOC0337,Cao,"Porcelana, Batch 5163",2016,70%,U.S.A.,3,Criollo
CHOC0338,Cao,Bolivia,2016,75%,U.S.A.,3, 
CHOC0339,Cao,Brazil,2016,70%,U.S.A.,3.25,Trinitario
CHOC0340,Caoni (Tulicorp),Esmeraldas,2008,77%,Ecuador,2,Forastero (Arriba)
CHOC0341,Caoni (Tulicorp),Manabi,2008,77%,Ecuador,2.5,Forastero (Arriba)
CHOC0342,Caoni (Tulicorp),Los Rios,2008,77%,Ecuador,2.75,Forastero (Arriba)
CHOC0343,Caoni (Tulicorp),Manabi,2008,55%,Ecuador,3,Forastero (Arriba)
CHOC0344,Caoni (Tulicorp),Los Rios,2008,55%,Ecuador,3.25,Forastero (Arriba)
CHOC0345,Caoni (Tulicorp),Esmeraldas,2008,55%,Ecuador,3.5,Forastero (Arriba)
CHOC0346,Captain Pembleton,"Saidor Estate, Madang P.",2014,70%,New Zealand,3.5,Trinitario
CHOC0347,Captain Pembleton,Kulili Estate,2014,70%,New Zealand,3.75, 
CHOC0348,Caribeans,"Antigua, Special Reserve",2015,72%,Costa Rica,3.5, 
CHOC0349,Caribeans,"Talamanca, Raul-Kekoldo community",2015,72%,Costa Rica,3.25, 
CHOC0350,Caribeans,Anselmo Paraiso Estate,2015,72%,Costa Rica,3.5, 
CHOC0351,Caribeans,Costa Rica,2012,72%,Costa Rica,3,Forastero
CHOC0352,Caribeans,Costa Rica,2012,80%,Costa Rica,2.75,Forastero
CHOC0353,Carlotta Chocolat,Arauca,2016,65%,Colombia,3,Trinitario
CHOC0354,Carlotta Chocolat,Tumaco,2016,65%,Colombia,3.25,Trinitario
CHOC0355,Carlotta Chocolat,Cordoba,2016,65%,Colombia,3.25,Trinitario
CHOC0356,Carlotta Chocolat,Huila,2016,65%,Colombia,3.5,Trinitario
CHOC0357,Carlotta Chocolat,Cesar,2016,65%,Colombia,3.5,CCN51
CHOC0358,Castronovo,"Maya Mtn, Batch 454, Heirloom",2016,72%,U.S.A.,4,Trinitario
CHOC0359,Castronovo,"the lost city, gracias a dias, batch 362",2015,72%,U.S.A.,3.5,Trinitario
CHOC0360,Castronovo,"Duarte, Batch 360",2015,70%,U.S.A.,3.75,"Criollo, Trinitario"
CHOC0361,Castronovo,"Piaroa, Amazonas, Batch 350",2015,72%,U.S.A.,3.5, 
CHOC0362,Castronovo,Sierra Nevada,2014,72%,U.S.A.,3.5,"Criollo, Trinitario"
CHOC0363,Castronovo,Arauca,2014,76%,U.S.A.,3.5,"Criollo, Trinitario"
CHOC0364,Castronovo,Elvesia P.,2014,70%,U.S.A.,2.75,Trinitario
CHOC0365,Castronovo,Bolivia,2013,70%,U.S.A.,3,Trinitario
CHOC0366,Castronovo,Conacado,2013,73%,U.S.A.,3.5,Trinitario
CHOC0367,Castronovo,San Martin,2013,70%,U.S.A.,2.5,Criollo
CHOC0368,Castronovo,"Guaniamo, Amazonas",2013,70%,U.S.A.,3.25, 
CHOC0369,Castronovo,Nicaragua,2013,72%,U.S.A.,3.25,Trinitario
CHOC0370,Castronovo,Tumbes,2013,70%,U.S.A.,2.75,Criollo
CHOC0371,Castronovo,Guaniamo,2013,72%,U.S.A.,3, 
CHOC0372,Cello,Ecuador,2014,70%,U.S.A.,2.5, 
CHOC0373,Cello,Peru,2014,70%,U.S.A.,2.75, 
CHOC0374,Cello,Venezuela,2014,70%,U.S.A.,2.75, 
CHOC0375,Cello,Bolivia,2014,70%,U.S.A.,3, 
CHOC0376,Cemoi,Equateur,2009,72%,France,2.75, 
CHOC0377,Chaleur B,Uganda,2014,70%,Canada,2.75,Forastero
CHOC0378,Charm School,Maya Mtn,2016,70%,U.S.A.,3.25, 
CHOC0379,Chchukululu (Tulicorp),Arriba,2010,55%,Ecuador,2.75,Forastero (Arriba)
CHOC0380,Chchukululu (Tulicorp),Los Rios,2008,75%,Ecuador,3,Forastero (Arriba)
CHOC0381,Chequessett,la Amistad,2014,70%,U.S.A.,3.5, 
CHOC0382,Chloe Chocolat,Blend No. 1,2011,70%,France,3.5, 
CHOC0383,Chocablog,Ecuador,2015,70%,U.K.,3.25, 
CHOC0384,Choco Del Sol,Maya Mountain w/ nibs,2014,75%,Germany,3,Trinitario
CHOC0385,Choco Del Sol,Maya Mountain,2014,82%,Germany,3.25,Trinitario
CHOC0386,Choco Dong,"Mekong Delta, early 2014 Harvest",2015,70%,South Korea,2.75,Trinitario
CHOC0387,Choco Dong,"Tawau, Oct. 2015 Harvest",2015,70%,South Korea,3.5,Trinitario
CHOC0388,Chocolarder,Peru,2015,65%,U.K.,2.5,Criollo
CHOC0389,Chocolarder,Peru + nibs,2015,65%,U.K.,2.75,Criollo
CHOC0390,Chocolarder,Dominican Republic,2015,80%,U.K.,2.5, 
CHOC0391,Chocola'te,Madagascar,2011,70%,U.S.A.,3.75,Trinitario
CHOC0392,Chocola'te,Venezuela,2011,68%,U.S.A.,3.75, 
CHOC0393,Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",2016,90%,U.S.A.,2.5, 
CHOC0394,Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",2016,80%,U.S.A.,2.5, 
CHOC0395,Chocolate Con Amor,Wild Bolivian,2016,70%,U.S.A.,2.5, 
CHOC0396,Chocolate Con Amor,Uganda,2016,70%,U.S.A.,2.75, 
CHOC0397,Chocolate Con Amor,Dominican Republic,2016,60%,U.S.A.,3, 
CHOC0398,Chocolate Con Amor,Dominican Republic,2016,75%,U.S.A.,3, 
CHOC0399,Chocolate Con Amor,Ocumare,2016,80%,U.S.A.,3,Criollo (Ocumare)
CHOC0400,Chocolate Con Amor,Ecuador,2016,70%,U.S.A.,3.25, 
CHOC0401,Chocolate Con Amor,Nicaragua,2016,80%,U.S.A.,2.75, 
CHOC0402,Chocolate Conspiracy,Peru,2014,74%,U.S.A.,2.75, 
CHOC0403,Chocolate Makers,Tres Hombres,2015,75%,Amsterdam,3.25,Trinitario
CHOC0404,Chocolate Makers,"Congo, Gorilla bar",2015,68%,Amsterdam,3.5,Forastero
CHOC0405,Chocolate Makers,"Peru, Awagum bar",2015,80%,Amsterdam,3.75,Criollo
CHOC0406,"Chocolate Tree, The",Maranon,2015,69%,Scotland,3.75,Forastero (Nacional)
CHOC0407,"Chocolate Tree, The",Carenero Superior,2015,80%,Scotland,3.75,Trinitario
CHOC0408,"Chocolate Tree, The",Peru,2013,70%,Scotland,3.75,Forastero (Nacional)
CHOC0409,"Chocolate Tree, The",Ecuador,2012,82%,Scotland,2.5,Forastero (Arriba)
CHOC0410,"Chocolate Tree, The",Peru,2012,68%,Scotland,2.75,Criollo
CHOC0411,"Chocolate Tree, The",Madagascar,2012,72%,Scotland,3.25,Criollo
CHOC0412,Chocolats Privilege,Xoconusco,2014,70%,Canada,2.5,Criollo
CHOC0413,ChocoReko,Patanemo,2015,77%,Japan,3,Criollo
CHOC0414,Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",2011,65%,Canada,3.25, 
CHOC0415,Chocovic,Xoconusco,2010,71%,Spain,3.25,Criollo
CHOC0416,Chocovic,Sambirano,2010,71%,Spain,3.5,Trinitario
CHOC0417,Chocovic,Kendari,2009,60%,Spain,3.25, 
CHOC0418,Chocovic,Tarakan,2009,75%,Spain,3.25, 
CHOC0419,Chocovic,Ocumare,2008,71%,Spain,3.5,Criollo
CHOC0420,Chocovic,"Bolivar, Guaranda",2007,71%,Spain,2.5,Forastero (Arriba)
CHOC0421,Chocovic,Guyave,2007,71%,Spain,2.5,Trinitario
CHOC0422,Chocovic,Maragda,2007,70%,Spain,3,Blend
CHOC0423,Chocovivo,Tabasco,2015,65%,U.S.A.,2.5,Trinitario
CHOC0424,Chocovivo,Tabasco,2015,75%,U.S.A.,2.5,Trinitario
CHOC0425,Choklat,Ocumare,2009,80%,Canada,2.5,Criollo
CHOC0426,Choklat,"Porcelana, Tabasco",2009,70%,Canada,2.75,Criollo
CHOC0427,Choklat,Brazilian,2009,70%,Canada,3, 
CHOC0428,Choklat,Brazilian,2009,80%,Canada,3, 
CHOC0429,Choklat,Ocumare,2009,70%,Canada,3,Criollo
CHOC0430,Chokolat Elot (Girard),Guadeloupe,2013,42%,Martinique,2.75, 
CHOC0431,Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",2016,75%,Canada,3.25, 
CHOC0432,Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",2011,68%,Canada,3.75,Forastero (Nacional)
CHOC0433,Chuao Chocolatier,Choroni,2009,61%,U.S.A.,3,Criollo
CHOC0434,Chuao Chocolatier (Pralus),Chuao,2010,77%,U.S.A.,2.75,Trinitario
CHOC0435,Claudio Corallo,Terreiro Velho P.,2010,73.5%,Sao Tome,3.75,Forastero
CHOC0436,Claudio Corallo,Terreiro Velho P. w/ sugar crystals,2008,80%,Sao Tome,3,Forastero
CHOC0437,Claudio Corallo,Terreiro Velho P.,2008,75%,Sao Tome,4,Forastero
CHOC0438,Claudio Corallo,Principe,2008,100%,Sao Tome,1,Forastero
CHOC0439,Cloudforest,"Camino Verde P., Balao, Guayas, 2014",2015,73%,U.S.A.,3.5, 
CHOC0440,Coleman & Davis,Sambirano,2015,75%,U.S.A.,3,Trinitario
CHOC0441,Compania de Chocolate (Salgado),Sur del Lago,2010,70%,Argentina,3.25, 
CHOC0442,Compania de Chocolate (Salgado),Carenero Superior,2008,80%,Argentina,2.75,Trinitario
CHOC0443,Compania de Chocolate (Salgado),Moxos,2008,72%,Argentina,3.25, 
CHOC0444,Compania de Chocolate (Salgado),Ocumare,2008,70%,Argentina,3.75,Criollo
CHOC0445,Compania de Chocolate (Salgado),Esmeraldas,2008,88%,Argentina,2.75,Forastero (Nacional)
CHOC0446,Condor,Camino Verde,2015,76%,U.S.A.,3.5, 
CHOC0447,Confluence,"Tien Giang, 2015, batch 10-2-16",2016,78%,U.S.A.,2.75,Trinitario
CHOC0448,Coppeneur,"Ecuador, Puristique",2013,65%,Germany,3.25,Forastero (Nacional)
CHOC0449,Coppeneur,Ghana Puristique,2012,85%,Germany,3.5,Forastero
CHOC0450,Coppeneur,Ecuador Puristique,2012,100%,Germany,1.5, 
CHOC0451,Coppeneur,Uba Budo,2012,72%,Germany,3.75,Forastero
CHOC0452,Coppeneur,Madagascar,2012,70%,Germany,3.5,Trinitario
CHOC0453,Coppeneur,Grenada,2010,72%,Germany,3.25,Trinitario
CHOC0454,Coppeneur,Chuao,2010,70%,Germany,3,Trinitario
CHOC0455,Coppeneur,"Los Rios, H. Iara",2010,72%,Germany,2.5,Nacional
CHOC0456,Coppeneur,Trinidad,2010,72%,Germany,3,Trinitario
CHOC0457,Coppeneur,Jamaica,2010,72%,Germany,3.25,Trinitario
CHOC0458,Coppeneur,Ocumare 61,2010,72%,Germany,3.25,Criollo (Ocumare 61)
CHOC0459,Coppeneur,"Porcelana, Apotequil",2009,72%,Germany,3,Criollo
CHOC0460,Coppeneur,"Porcelana, Apotequil",2009,62%,Germany,3.25,Criollo
CHOC0461,Coppeneur,Chuao 100hr,2009,70%,Germany,3.5,"Criollo, Trinitario"
CHOC0462,Coppeneur,Chuao 70hr,2009,70%,Germany,3.75,"Criollo, Trinitario"
CHOC0463,Coppeneur,"Porcelana, Tabasco, Mexico",2008,72%,Germany,3,Criollo
CHOC0464,Coppeneur,"Porcelana, Venezuela",2008,72%,Germany,3,Criollo (Porcelana)
CHOC0465,Coppeneur,"Sambirano, Menava P.",2007,72%,Germany,3,Trinitario
CHOC0466,Cote d' Or (Kraft),Sensations Intense,2006,70%,Belgium,1, 
CHOC0467,Cravve,New Ireland,2014,70%,Australia,2.5,Forastero
CHOC0468,Cravve,"Vanuatu, batch 2410",2014,83%,Australia,2.75,Trinitario
CHOC0469,Cravve,"Tanzania, batch a1",2012,75%,Australia,3.25,Forastero
CHOC0470,Cravve,"Bahia, batch a1213",2012,65%,Australia,3.25,Trinitario
CHOC0471,Cravve,"Namau Village, N. Taileva P., batch a2812",2012,67%,Australia,3.25,Trinitario
CHOC0472,Cravve,Vanuatu,2012,64%,Australia,3.25,Trinitario
CHOC0473,Cravve,Djual Island,2012,75%,Australia,3.5,Forastero
CHOC0474,Creo,"""heirloom"", Arriba Nacional",2016,85%,U.S.A.,3.25,Forastero (Nacional)
CHOC0475,Creo,"""heirloom"", Arriba Nacional",2016,73%,U.S.A.,3.75,Forastero (Nacional)
CHOC0476,Daintree,Goodman Estate,2015,70%,Australia,2.75, 
CHOC0477,Daintree,"Daintree Estates, N. Queensland",2011,70%,Australia,3.25, 
CHOC0478,Dalloway,"Dominican Republic, batch 7",2017,72%,U.S.A.,2.75, 
CHOC0479,Damson,Robson Estate,2015,70%,U.K.,3,Trinitario
CHOC0480,Damson,Los Rios,2015,70%,U.K.,3.5, 
CHOC0481,Damson,Crayfish Bay aka Non Pariel Estate,2015,70%,U.K.,2.25, 
CHOC0482,Damson,O'Payo,2015,70%,U.K.,2.75, 
CHOC0483,Dandelion,"Zorzal Reserva, 2015 H., Kerchner",2016,70%,U.S.A.,3.75, 
CHOC0484,Dandelion,"Maya Mtn., Break Bar- Snark",2015,70%,U.S.A.,3,Trinitario
CHOC0485,Dandelion,Maya Mountain,2014,70%,U.S.A.,3.5,Trinitario
CHOC0486,Dandelion,"Camino Verde P., Balao, Guayas, 2013",2014,70%,U.S.A.,3.5, 
CHOC0487,Dandelion,Buto,2014,70%,U.S.A.,2.75, 
CHOC0488,Dandelion,"San Francisco de Macoris, Cibao region",2014,70%,U.S.A.,3.75, 
CHOC0489,Dandelion,"Cumboto, farmer Jose Lugo",2013,70%,U.S.A.,2.75, 
CHOC0490,Dandelion,Patanemo,2013,70%,U.S.A.,3.25, 
CHOC0491,Dandelion,"Mantuano, 2012",2013,70%,U.S.A.,3.5, 
CHOC0492,Dandelion,Papua New Guinea,2013,70%,U.S.A.,3.5, 
CHOC0493,Dandelion,Upala,2012,70%,U.S.A.,3, 
CHOC0494,Dandelion,Colombian,2012,70%,U.S.A.,3.25, 
CHOC0495,Dandelion,"Elvesia, 2011",2012,70%,U.S.A.,3.75, 
CHOC0496,Dandelion,Dominican Republic,2011,70%,U.S.A.,3.25, 
CHOC0497,Dandelion,Madagascar,2011,70%,U.S.A.,3.25,Trinitario
CHOC0498,Dandelion,Tanzania,2011,70%,U.S.A.,3.25, 
CHOC0499,Danta,Los Ujuxtes,2014,82%,Guatemala,3.25, 
CHOC0500,Danta,Chuao,2012,75%,Guatemala,3,Trinitario
CHOC0501,Danta,Los Ujuxtes,2012,70%,Guatemala,3.75, 
CHOC0502,Danta,Sambirano,2012,70%,Guatemala,3.75,Trinitario
CHOC0503,Danta,Las Acacias E.,2012,70%,Guatemala,4,Criollo
CHOC0504,Danta,"Oscuro, Finca Chimelb",2012,70%,Guatemala,3.25, 
CHOC0505,Danta,Los Ujuxtes,2011,60%,Guatemala,3.5, 
CHOC0506,Danta,Las Acacias E.,2009,75%,Guatemala,3,Criollo
CHOC0507,Danta,Las Acacias E.,2009,60%,Guatemala,3.25,Criollo
CHOC0508,DAR,"Venezuela, batch 122",2016,72%,U.S.A.,2.75, 
CHOC0509,DAR,Vietnam,2016,72%,U.S.A.,3,Trinitario
CHOC0510,DAR,"DUO, batch 002",2016,70%,U.S.A.,3.25, 
CHOC0511,Dark Forest,Bolivia,2016,75%,U.S.A.,3.25, 
CHOC0512,Dark Forest,Madagascar,2015,70%,U.S.A.,3,Trinitario
CHOC0513,Dark Forest,Ocumare,2015,70%,U.S.A.,3.25, 
CHOC0514,Dark Forest,Tanzania,2015,70%,U.S.A.,3, 
CHOC0515,Dark Forest,Ecuador,2015,70%,U.S.A.,3.25, 
CHOC0516,Davis,Ghana,2013,70%,U.S.A.,2.5,Forastero
CHOC0517,Davis,Rainforest,2013,70%,U.S.A.,2.75, 
CHOC0518,Davis,Venezuela,2013,70%,U.S.A.,2.75, 
CHOC0519,Davis,West Africa,2012,58%,U.S.A.,3.25,Forastero
CHOC0520,De Mendes,"Nativo, Varzea",2015,72%,Brazil,3.5, 
CHOC0521,De Mendes,"Selvagem, Jari",2015,65%,Brazil,3.5, 
CHOC0522,De Villiers,Bundibugyo District,2016,70%,South Africa,2.5,Forastero
CHOC0523,De Villiers,"Sambirano Valley, batch 2477",2016,70%,South Africa,3, 
CHOC0524,Dean and Deluca (Belcolade),Madagascar,2007,66%,U.S.A.,2.5,Trinitario
CHOC0525,Dean and Deluca (Belcolade),Costa Rica,2007,64%,U.S.A.,3, 
CHOC0526,Dean and Deluca (Belcolade),Ecuador,2007,71%,U.S.A.,3, 
CHOC0527,Dean and Deluca (Belcolade),Ghana,2007,60%,U.S.A.,3,Forastero
CHOC0528,Dean and Deluca (Belcolade),Papua New Guinea,2007,64%,U.S.A.,3, 
CHOC0529,Dean and Deluca (Belcolade),Peru,2007,64%,U.S.A.,3, 
CHOC0530,Debauve & Gallais (Michel Cluizel),Papua New Guinea,2009,64%,France,3, 
CHOC0531,Debauve & Gallais (Michel Cluizel),Venezuela,2008,66%,France,3.75, 
CHOC0532,Desbarres,"Kilombero, batch 41",2016,72%,Canada,2.5, 
CHOC0533,DeVries,Bolivian,2008,80%,U.S.A.,2.75, 
CHOC0534,DeVries,Costa Rica,2007,77%,U.S.A.,3.5,Trinitario
CHOC0535,DeVries,Dominican Republic,2007,77%,U.S.A.,3.5, 
CHOC0536,Dick Taylor,Lanquin Estate,2017,70%,U.S.A.,3.75, 
CHOC0537,Dick Taylor,Tien Giang,2016,78%,U.S.A.,3.5,Trinitario
CHOC0538,Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",2015,70%,U.S.A.,3.75, 
CHOC0539,Dick Taylor,Elvesia,2014,74%,U.S.A.,3.5, 
CHOC0540,Dick Taylor,"Ecuador, Choc. Garage Exclusive",2013,70%,U.S.A.,3.25, 
CHOC0541,Dick Taylor,Camino Verde,2013,76%,U.S.A.,3.5, 
CHOC0542,Dick Taylor,Bolivia,2012,75%,U.S.A.,2.75, 
CHOC0543,Dick Taylor,Belize,2012,72%,U.S.A.,2.75,Trinitario
CHOC0544,Dick Taylor,Sambirano,2011,80%,U.S.A.,2.75,Trinitario
CHOC0545,Dick Taylor,Sambirano,2011,72%,U.S.A.,3,Trinitario
CHOC0546,Dick Taylor,Mantuano,2011,75%,U.S.A.,2.75,Criollo
CHOC0547,Dick Taylor,La Red,2011,74%,U.S.A.,3, 
CHOC0548,Dick Taylor,Ecuador,2011,70%,U.S.A.,3.25, 
CHOC0549,Doble & Bignall,Puerto Cabello,2015,85%,U.K.,3, 
CHOC0550,Doble & Bignall,"Panama, Raven",2014,72%,U.K.,3.25, 
CHOC0551,Doble & Bignall,"Puerto Cabello, Mantuano",2014,72%,U.K.,3.25,Trinitario
CHOC0552,Doble & Bignall,Johe,2014,72%,U.K.,3.5,"Criollo, Trinitario"
CHOC0553,Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",2009,70%,U.S.A.,3.75, 
CHOC0554,Dolfin (Belcolade),Africa,2008,88%,Belgium,3,Forastero
CHOC0555,Dolfin (Belcolade),Noir,2006,70%,Belgium,1.5, 
CHOC0556,Domori,Hacienda Victoria,2015,70%,Italy,3.75, 
CHOC0557,Domori,Ocumare 77,2015,70%,Italy,3.75,Criollo (Ocumare 77)
CHOC0558,Domori,"IL100, H. San Jose",2013,100%,Italy,3,Criollo
CHOC0559,Domori,Morogoro,2012,70%,Italy,3.5, 
CHOC0560,Domori,Guasare,2012,70%,Italy,3.75,Criollo
CHOC0561,Domori,"Canoabo, Hacienda San Jose",2011,70%,Italy,3.5,Criollo
CHOC0562,Domori,"Chuao, Hacienda San Jose",2010,70%,Italy,3,Trinitario
CHOC0563,Domori,"Carupano, H. San Jose",2008,70%,Italy,3,Trinitario
CHOC0564,Domori,Teyuna,2008,70%,Italy,3, 
CHOC0565,Domori,Blend No. 1,2008,78%,Italy,3.5,Blend
CHOC0566,Domori,Ilblend,2008,70%,Italy,3.75,Blend
CHOC0567,Domori,Porcelana,2007,70%,Italy,4,Criollo (Porcelana)
CHOC0568,Domori,"Ocumare 61, Puertomar",2007,75%,Italy,3.25,Criollo (Ocumare 61)
CHOC0569,Domori,Granella,2007,60%,Italy,3.25,Trinitario
CHOC0570,Domori,Madagascar,2007,70%,Italy,3.5,Trinitario
CHOC0571,Domori,Madagared,2007,70%,Italy,3.5,Criollo
CHOC0572,Domori,"Java, Javablond",2007,70%,Italy,3.75,Criollo
CHOC0573,Domori,Ecuador,2007,70%,Italy,4,Forastero (Arriba)
CHOC0574,Domori,"Ocumare 67, Puertofino",2007,70%,Italy,4,Criollo (Ocumare 67)
CHOC0575,Domori,Sur del Lago Classificado,2006,70%,Italy,3,Trinitario
CHOC0576,Domori,Apurimac,2006,70%,Italy,3.25,Trinitario
CHOC0577,Domori,Carenero Superior,2006,70%,Italy,3.5,Trinitario
CHOC0578,Dormouse,Non Pariel Estate,2016,75%,U.K.,2.75,Trinitario
CHOC0579,Dormouse,"Rio Caribe, Batch 7",2015,70%,U.K.,2.5,Trinitario
CHOC0580,Dormouse,"Colombia, Batch 9",2015,80%,U.K.,2.75,"Criollo, Trinitario"
CHOC0581,Dormouse,"Madagascar, Batch 8",2015,77%,U.K.,2.75,"Criollo, Trinitario"
CHOC0582,Duffy's,"Rio Dulce, Xoco",2015,70%,U.K.,4,Criollo
CHOC0583,Duffy's,"Chuno, Xoco",2014,70%,U.K.,3.5,Criollo
CHOC0584,Duffy's,"Rico Rugoso, Xoco",2014,76%,U.K.,3.75,Criollo
CHOC0585,Duffy's,Ocumare,2012,72%,U.K.,3.75, 
CHOC0586,Duffy's,"Indio Rojo, Xoco",2011,72%,U.K.,3.75,Criollo
CHOC0587,Duffy's,Dominican Republic,2011,65%,U.K.,3.5, 
CHOC0588,Duffy's,"Bocas del Toro, Tierra Oscura",2011,72%,U.K.,3, 
CHOC0589,Duffy's,"Nicaliso, Xoco",2011,71%,U.K.,3.25,Criollo
CHOC0590,Duffy's,Ocumare,2011,71%,U.K.,3.5, 
CHOC0591,Duffy's,Panama,2010,70%,U.K.,3.5, 
CHOC0592,Duffy's,"Corazon del Ecuador, Calceta beans",2010,72%,U.K.,3.75, 
CHOC0593,Duffy's,Star of Ecuador,2010,70%,U.K.,2.5, 
CHOC0594,Duffy's,Star of Peru,2010,70%,U.K.,3.75, 
CHOC0595,Dulcinea,Dominican Republic,2015,70%,U.S.A.,3.25, 
CHOC0596,Durand,Madagascar,2012,82%,France,2.75,Trinitario
CHOC0597,Durci,"Maranon, Joya Rara",2015,70%,U.S.A.,3.5,Forastero (Nacional)
CHOC0598,Durci,"Rio Caribe, Tepui Treasure",2015,70%,U.S.A.,3.5,Trinitario
CHOC0599,Durci,Taino Secret,2015,70%,U.S.A.,3.25, 
CHOC0600,Durci,"Carenero, Empyrean Sabor",2015,70%,U.S.A.,3.25,Trinitario
CHOC0601,Durci,Corona Arriba,2015,70%,U.S.A.,4, 
CHOC0602,East Van Roasters,Peru,2014,70%,Canada,3.25, 
CHOC0603,East Van Roasters,Madagascar,2014,70%,Canada,3.5,Trinitario
CHOC0604,East Van Roasters,Dominican Republic,2014,70%,Canada,3.75, 
CHOC0605,Eau de Rose,Tumaco,2016,70%,Canada,3.25, 
CHOC0606,Eau de Rose,Arauca,2016,70%,Canada,3.25, 
CHOC0607,Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",2012,72%,U.S.A.,2.75,Forastero (Nacional)
CHOC0608,Edelmond,Porcelana,2016,68%,Germany,3,Criollo
CHOC0609,El Ceibo,"Alto Beni, Covendo Region",2011,75%,Bolivia,3.75, 
CHOC0610,El Ceibo,Alto Beni,2008,71%,Bolivia,2.75, 
CHOC0611,El Rey,San Joaquin,2015,70%,Venezuela,3.75, 
CHOC0612,El Rey,"Rio Caribe, Cariaco",2009,60.5%,Venezuela,2.75,Trinitario
CHOC0613,El Rey,"Rio Caribe, Macuro",2009,70%,Venezuela,3,Trinitario
CHOC0614,El Rey,"Carenero Superior, Apamate",2008,74%,Venezuela,2.5,Criollo
CHOC0615,El Rey,"Carenero Superior, Bucare",2008,58%,Venezuela,2.5,Criollo
CHOC0616,El Rey,"Carenero Superior, Mijao",2008,61%,Venezuela,3,Criollo
CHOC0617,El Rey,"Carenero Superior, Gran Saman",2006,70%,Venezuela,2.75,Criollo
CHOC0618,Emerald Estate,Emerald Estate,2013,60%,St. Lucia,2.75, 
CHOC0619,Emerald Estate,Emerald Estate,2013,70%,St. Lucia,3.25, 
CHOC0620,Emily's,Patanemo,2015,79%,Japan,3, 
CHOC0621,Emily's,Peru,2015,78%,Japan,3.5,Criollo
CHOC0622,ENNA,"Wampusirpi, batch 007",2016,75%,U.S.A.,3.25, 
CHOC0623,Enric Rovira (Claudio Corallo),Terreiro Velho P.,2010,80%,Spain,3.25,Forastero
CHOC0624,Erithaj (A. Morin),Ben Tre,2014,70%,France,3.25,Trinitario
CHOC0625,Erithaj (A. Morin),Ham Luong,2014,80%,France,3,Trinitario
CHOC0626,Erithaj (A. Morin),Ba Lai,2014,74%,France,3.25,Trinitario
CHOC0627,Escazu,Rio Caribe,2012,70%,U.S.A.,2.75,Trinitario
CHOC0628,Escazu,Guapiles,2009,65%,U.S.A.,2, 
CHOC0629,Escazu,Carenero Superior,2009,81%,U.S.A.,3.5,Criollo
CHOC0630,Escazu,"Carenero, Guapiles, Ocumare blend",2009,74%,U.S.A.,2.75, 
CHOC0631,Escazu,Ocumare,2008,72%,U.S.A.,3,Criollo
CHOC0632,Ethel's Artisan (Mars),"Peru, Madagascar",2011,55%,U.S.A.,2.5, 
CHOC0633,Ethel's Artisan (Mars),Trinidad,2011,55%,U.S.A.,2.5,Trinitario
CHOC0634,Ethel's Artisan (Mars),Porcelana,2011,70%,U.S.A.,2.5,Criollo (Porcelana)
CHOC0635,Ethel's Artisan (Mars),Red Vanilla,2011,62%,U.S.A.,2.75, 
CHOC0636,Ethel's Artisan (Mars),"Venezuela, Trinidad",2011,62%,U.S.A.,2.5, 
CHOC0637,Ethereal,Belize,2014,80%,U.S.A.,3,Trinitario
CHOC0638,Ethereal,Ecuador,2014,80%,U.S.A.,3.5, 
CHOC0639,Ethereal,Dominican Republic,2014,80%,U.S.A.,3.75, 
CHOC0640,Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",2010,75%,U.S.A.,2.75, 
CHOC0641,Feitoria Cacao,Blue Mountain,2016,76%,Portugal,3, 
CHOC0642,Feitoria Cacao,Cuyagua,2016,76%,Portugal,2.5, 
CHOC0643,Feitoria Cacao,Maya Mountain,2016,76%,Portugal,2.75,Trinitario
CHOC0644,Felchlin,Grenada,2010,58%,Switzerland,3.5,Trinitario
CHOC0645,Felchlin,Supremo- SF,2006,62%,Switzerland,2, 
CHOC0646,Felchlin,Elvesia P.,2006,74%,Switzerland,3,"Trinitario, Criollo"
